participant	subject_type	task	run	roi	hemisphere	condition	y	type_of_y
sub-0000	pilot	gic	run-015	fMotionArea	LH	Cubes	1.7934055612457493	beta_z-score
sub-0000	pilot	gic	run-015	fMotionArea	RH	Cubes	1.892376242313583	beta_z-score
sub-0000	pilot	gic	run-015	GFPalt	LH	Cubes	1.0226822154302622	beta_z-score
sub-0000	pilot	gic	run-015	GFPalt	RH	Cubes	-0.7293478616961945	beta_z-score
sub-0000	pilot	gic	run-015	Marquardt2017GFP	LH	Cubes	1.5333623784252584	beta_z-score
sub-0000	pilot	gic	run-015	Marquardt2017GFP	RH	Cubes	1.600892291272877	beta_z-score
sub-0000	pilot	gic	run-015	GFP	LH	Iris	0.8460675116195946	beta_z-score
sub-0000	pilot	gic	run-015	GFP	RH	Iris	0.4752388722854007	beta_z-score
sub-0000	pilot	gic	run-015	GazeCubes	LH	Iris	1.7216903819807037	beta_z-score
sub-0000	pilot	gic	run-015	GazeCubes	RH	Iris	0.18161999520827227	beta_z-score
sub-0000	pilot	gic	run-015	fMotionArea	LH	Iris	1.0014137770228313	beta_z-score
sub-0000	pilot	gic	run-015	fMotionArea	RH	Iris	1.5747439261655076	beta_z-score
sub-0000	pilot	gic	run-015	GFPalt	LH	Iris	1.042304223946209	beta_z-score
sub-0000	pilot	gic	run-015	GFPalt	RH	Iris	-0.6484910465818945	beta_z-score
sub-0000	pilot	gic	run-015	Marquardt2017GFP	LH	Iris	0.9338605063797707	beta_z-score
sub-0000	pilot	gic	run-015	Marquardt2017GFP	RH	Iris	0.18480923879273078	beta_z-score
